Exchange,Symbol,Timestamp,Price,Volume_24h_Quote,OpenInterest_Quote,FundingRate,OI_Change_D (%),OI_Change_W (%),OI_Change_M (%),Volume_Change_D (%)
binance,BTC/USDT,2025-04-28 15:57:29,93637.20000000,16168036322.82999992,7793947307.03639984,-0.00005870,,,,
binance,ETH/USDT,2025-04-28 15:57:27,1756.19000000,9104338750.03000069,2978291466.18940020,-0.00008715,,,,
binance,SOL/USDT,2025-04-28 15:57:33,145.82000000,3294709197.78719997,1089951828.35780001,-0.00010348,,,,
bingx,BTC/USDT,2025-04-28 15:57:40,93672.70000000,831613258.71000004,706825694.60000002,,,,,
bingx,ETH/USDT,2025-04-28 15:57:41,1757.30000000,362286766.58999997,308753874.18000001,,,,,
bingx,SOL/USDT,2025-04-28 15:57:42,145.96400000,351139217.98000002,298492382.69000000,,,,,
bitget,BTC/USDT,2025-04-28 15:57:47,93699.10000000,12222700231.28132057,4366713811.98503017,-0.00003600,,,,
bitget,ETH/USDT,2025-04-28 15:57:48,1758.02000000,5194210534.76459980,2207065387.77559996,-0.00006200,,,,
bitget,SOL/USDT,2025-04-28 15:57:49,146.02500000,425473876.09020001,868675170.08249998,-0.00001900,,,,
bybit,BTC/USDT,2025-04-28 15:57:54,93722.30000000,8136840177.56830025,4966133163.57999992,0.00000606,,,,
bybit,ETH/USDT,2025-04-28 15:57:54,1757.88000000,2930621700.62939978,1634065318.28999996,-0.00004552,,,,
bybit,SOL/USDT,2025-04-28 15:57:55,146.02000000,1607106504.83299994,604508358.62000000,-0.00004745,,,,
gateio,BTC/USDT,2025-04-28 15:58:02,93755.50000000,4816633552.00000000,,-0.00002000,,,,
gateio,ETH/USDT,2025-04-28 15:58:03,1758.05000000,3190780442.00000000,,0.00004000,,,,
gateio,SOL/USDT,2025-04-28 15:58:03,146.06000000,609897482.00000000,,0.00009900,,,,
htx,BTC/USDT,2025-04-28 15:58:06,93732.40000000,12247984.00000000,3380891768.49079990,0.00000316,,,,
htx,ETH/USDT,2025-04-28 15:58:07,1757.86000000,59486394.00000000,1422404302.91840005,0.00003705,,,,
htx,SOL/USDT,2025-04-28 15:58:09,145.96100000,612942.00000000,11607110.64200000,0.00010000,,,,
kucoinfutures,BTC/USDT,2025-04-28 15:58:11,93797.70000000,,,-0.00000600,,,,
kucoinfutures,ETH/USDT,2025-04-28 15:58:12,1759.00000000,,,0.00015300,,,,
kucoinfutures,SOL/USDT,2025-04-28 15:58:11,146.10400000,,,0.00009400,,,,
mexc,BTC/USDT,2025-04-28 15:58:14,93738.00000000,4577269058.44003010,,-0.00005800,,,,
mexc,ETH/USDT,2025-04-28 15:58:16,1757.77000000,3981145091.50180006,,-0.00008700,,,,
mexc,SOL/USDT,2025-04-28 15:58:16,146.05000000,5255075736.12600040,,-0.00010300,,,,
okx,BTC/USDT,2025-04-28 15:58:18,93755.60000000,1045255376295.98815918,2682148737.24510765,0.00004467,,,,
okx,ETH/USDT,2025-04-28 15:58:19,1758.22000000,68649872240.72440338,1033089670.28204095,0.00004060,,,,
okx,SOL/USDT,2025-04-28 15:58:20,146.05000000,1509925981.03100014,459602825.73360062,-0.00000477,,,,
phemex,BTC/USDT,2025-04-28 15:58:23,93738.00000000,159931236.20199999,118282846.85740799,-0.00000063,,,,
phemex,ETH/USDT,2025-04-28 15:58:25,1758.13000000,77165803.34199999,32025893.58614656,-0.00004191,,,,
phemex,SOL/USDT,2025-04-28 15:58:27,145.99900000,19449983.97635000,21556643.15052975,0.00010000,,,,
